text	other	variety	type
limitless		Reduction - both ends	Standard
lining of		Reduction - both ends	Standard
lopped		Reduction - first letter	Advanced
losing	loses	Expulsion	Standard
losing head(s)		Reduction - first letter(s)	Standard
lost		Departure	Standard
mainly		Reduction - last letter	Standard
minus		Expulsion	Standard
missing	misses	Expulsion	Standard
missing	missed out	Departure	Standard
most of	mostly	Reduction - last letter	Standard
naked		Reduction - both ends	Standard
nearly		Reduction - last letter	Standard
needing	needs	Expulsion	Standard
no		Expulsion	Standard
no		Departure	Standard
not		Expulsion	Standard
not		Departure	Standard
not quite		Reduction - last letter	Standard
not the first		Reduction - first letter	Standard
not the last		Reduction - last letter	Standard
nowhere to be seen		Departure	Standard
obliterated		Departure	Standard
obliterating	obliterates	Expulsion	Standard
obscured		Departure	Standard
obscuring	obscures	Expulsion	Standard
ousted		Departure	Standard
ousting	ousts	Expulsion	Standard
out of bounds		Reduction - both ends	Standard
out of sight		Departure	Standard
outing		Expulsion	Standard
outing		Departure	Standard
passed over		Departure	Standard
passing	passes	Expulsion	Standard
passing	passed	Departure	Standard
passing over	passes over	Expulsion	Standard
peeled		Reduction - both ends	Standard
polled		Departure	Advanced
polling	polls	Expulsion	Advanced
pruned		Reduction - last letter	Standard
pulled out		Departure	Standard
pulling out	pulls out	Departure	Standard
put away		Departure	Standard
put out		Departure	Standard
putting away	puts away	Expulsion	Standard
putting out	puts out	Expulsion	Standard
quitting	quits	Departure	Standard
racing	races	Departure	Standard
rebuffing	rebuffed/rebuffs	Departure	Standard
rebuffing	rebuffs	Expulsion	Standard
reduced by		Expulsion	Standard
refused to		Departure	Standard
regardless of		Expulsion	Advanced
rejected		Departure	Standard
rejecting	rejects	Expulsion	Standard
released		Departure	Standard
releasing	releases	Expulsion	Standard
relegated		Departure	Standard
relegating	relegates	Expulsion	Standard
relinquished		Departure	Standard
relinquishing	relinquishes	Expulsion	Standard
removed		Departure	Standard
renounced		Departure	Standard
renouncing	renounces	Expulsion	Standard
rubbed out		Departure	Standard
rubbing out	rubs out	Expulsion	Standard
running	runs	Departure	Standard
save		Expulsion	Standard
saving		Expulsion	Standard
saving skin	save skin	Reduction - both ends	Standard
scored		Departure	Standard
scoring	scores	Expulsion	Standard
scrapped		Departure	Standard
scrapping	scraps	Expulsion	Standard
scratching	scratches	Expulsion	Standard
scratching	scratched/scratches	Departure	Standard
scratching backside		Reduction - last letter	Standard
scratching head(s)		Reduction - first letter(s)	Standard
screened		Departure	Standard
screening	screens	Expulsion	Standard
scrubbed		Departure	Standard
scrubbing	scrubs	Expulsion	Standard
sending out	sends out	Expulsion	Standard
sent out		Departure	Standard
set aside		Departure	Standard
setting aside	sets aside	Expulsion	Standard
shed		Departure	Standard
shedding	sheds	Expulsion	Standard
shelled		Reduction - both ends	Standard
shifting	shifts	Expulsion	Standard
shifting	shifted/shifts	Departure	Standard
short of	short	Expulsion	Standard
shortened		Reduction - last letter	Standard
shot of	gets shot of	Expulsion	Standard
shoved out		Departure	Standard
shoving out	shoves out	Expulsion	Standard
shunning	shunned/shuns	Departure	Standard
shy of		Expulsion	Standard
skinless		Reduction - both ends	Standard
skinned		Reduction - both ends	Standard
skipping	skips	Expulsion	Standard
snatched		Departure	Standard
snubbed		Reduction - last letter	Standard
snubbing	snubbed/snubs	Departure	Standard
snubbing	snubs	Expulsion	Standard
spending	spends	Expulsion	Standard
spent		Departure	Standard
spilling	spills	Expulsion	Standard
spilling	spilt/spills	Departure	Standard
spirited away		Departure	Standard
splitting	splits	Departure	Standard
spurning	spurned/spurns	Departure	Standard
spurning	spurns	Expulsion	Standard
squeezed out		Departure	Standard
squeezing out	squeezes out	Expulsion	Standard
steering clear of	steers clear of	Expulsion	Standard
stifled		Departure	Standard
stifling	stifles	Expulsion	Standard
stolen		Departure	Standard
stricken		Departure	Standard
striking	strikes	Expulsion	Standard
stripped		Departure	Standard
stripped of		Expulsion	Standard
struck		Departure	Standard
stunted		Reduction - last letter	Standard
suppressed		Departure	Standard
suppressing	suppresses	Expulsion	Standard
surrendered		Departure	Standard
surrendering	surrenders	Expulsion	Standard
tailed		Reduction - last letter	Standard
taken out		Departure	Standard
taking out	takes out	Expulsion	Standard
throwing out	throws out	Expulsion	Standard
thrown out		Departure	Standard
tipped		Reduction - first letter	Advanced
topless		Reduction - first letter	Standard
topped		Reduction - first letter	Advanced
torn out		Departure	Standard
trimmed		Reduction - last letter	Standard
truncated		Reduction - last letter	Standard
turned down		Departure	Standard
turning down	turns down	Expulsion	Standard
unbounded		Reduction - both ends	Standard
unconfined		Reduction - both ends	Standard
uncovered		Reduction - both ends	Standard
unemployed		Departure	Standard
unending	not ending	Reduction - last letter	Standard
unfinished		Reduction - last letter	Standard
unframed		Reduction - both ends	Standard
unloaded		Departure	Standard
unloading	unloads	Expulsion	Standard
unopened		Reduction - first letter	Standard
unremembered		Departure	Advanced
unsettled		Departure	Advanced
unsettling	unsettles	Expulsion	Advanced
unsheathed		Reduction - both ends	Standard
unwanted		Departure	Standard
unwrapped		Reduction - both ends	Standard
vanished		Departure	Advanced
