text	other	variety 	type
gulped by		Insertion	Standard
gulping	gulps	Containment	Standard
harboured by		Insertion	Standard
harbouring	harbours	Containment	Standard
hedged by		Insertion	Standard
hedging	hedges	Containment	Advanced
held by	held in	Insertion	Standard
hemming	hems	Containment	Standard
hidden by	hiding in	Insertion	Standard
hiding	hides	Containment	Standard
holding	holds	Containment	Standard
hosted by		Insertion	Standard
hosting	hosts	Containment	Standard
housed in		Insertion	Standard
housing	houses	Containment	Standard
hugged by		Insertion	Standard
hugging	hugs	Containment	Standard
implicated by		Insertion	Advanced
implicating	implicates	Containment	Advanced
imprisoned in		Insertion	Standard
imprisoning	imprisons	Containment	Standard
in	inside	Insertion	Standard
included in		Insertion	Standard
including	includes	Containment	Standard
incorporated in		Insertion	Standard
incorporating	incorporates	Containment	Standard
infiltrated by		Containment	Standard
infiltrating	infiltrates	Insertion	Standard
inhabited by		Containment	Standard
inhabiting	inhabits	Insertion	Standard
inhibited by		Insertion	Standard
inhibiting	inhibits	Containment	Standard
injected with		Containment	Standard
Inspired by	inspiring/inspires	Insertion	Standard
inspired with	inspired by	Containment	Advanced
inspiring	inspires	Containment	Advanced
installed in		Insertion	Standard
installing	installs	Containment	Standard
interred in		Insertion	Standard
interrupted by		Containment	Standard
interrupting	interrupts	Insertion	Standard
intervening		Insertion	Standard
introduced by	introduced to	Insertion	Standard
introducing	introduces	Containment	Standard
invested with		Insertion	Standard
investing	invests	Containment	Advanced
involved in		Insertion	Standard
involving	involves	Containment	Standard
jammed by		Insertion	Advanced
jammed with		Containment	Standard
jamming	jams	Containment	Advanced
jamming	jams	Insertion	Standard
keeping	keeps	Containment	Standard
kept by	kept in	Insertion	Standard
lagging	lags	Containment	Advanced
lapping	laps	Containment	Advanced
limited by		Insertion	Standard
limiting	limits	Containment	Standard
lined with		Containment	Standard
lining	lines	Insertion	Standard
lips		Containment	Advanced
listing	lists	Containment	Advanced
listed		Insertion	Advanced
locked by		Insertion	Advanced
locking	locks	Containment	Advanced
nabbed by		Insertion	Standard
nabbing	nabs	Containment	Standard
nailed by		Insertion	Standard
nailing	nails	Containment	Standard
netted by		Insertion	Standard
netting	nets	Containment	Standard
nicked by		Insertion	Standard
nicking	nicks	Containment	Standard
nipped by		Insertion	Standard
nipping	nips	Containment	Standard
nobbled by		Insertion	Standard
nobbling	nobbles	Containment	Standard
nursed by		Insertion	Standard
nursing	nurses	Containment	Standard
occupied by		Containment	Standard
occupying	occupies	Insertion	Standard
outside		Containment	Standard
overwhelmed by		Insertion	Standard
overwhelming	overwhelms	Containment	Standard
packed with		Insertion	Standard
packing	packs	Containment	Standard
parted by		Containment	Standard
parting	parts	Insertion	Standard
patrolled by		Insertion	Standard
patrolling	patrols	Containment	Standard
penetrated by		Containment	Standard
penetrating	penetrates	Insertion	Standard
penned by		Insertion	Standard
penning	pens	Containment	Standard
perambulating	perambulates	Containment	Advanced
picked up by		Insertion	Standard
picking up		Containment	Standard
pierced by		Containment	Standard
piercing	pierces	Insertion	Standard
pinched by		Insertion	Standard
pinching	pinches	Containment	Standard
pinned in		Insertion	Standard
pinning	pins	Containment	Advanced
plugged by		Containment	Standard
plugging	plugs	Insertion	Standard
pocketed by		Insertion	Standard
pocketing	pockets	Containment	Standard
popped by		Insertion	Advanced
popping	pops	Containment	Advanced
possessed by		Insertion	Standard
possessing	possesses	Containment	Standard
pounded by		Insertion	Advanced
pounding	pounds	Containment	Advanced
pressed by		Insertion	Standard
pressing	presses	Containment	Standard
prisons		Containment	Advanced
probed by		Containment	Standard
probing	probes	Insertion	Standard
protected by		Insertion	Standard
protecting	protects	Containment	Standard
pulled by		Insertion	Advanced
pulling	pulls	Containment	Advanced
pursed by		Insertion	Advanced
pursing	purses	Containment	Standard
put about	put round	Containment	Standard
put in	put into	Insertion	Standard
received by		Insertion	Standard
receiving	receives	Containment	Standard
repressed by		Insertion	Standard
repressing	represses	Containment	Standard
restrained by		Insertion	Standard
restraining	restrains	Containment	Standard
restricted by		Insertion	Standard
restricting	restricts	Containment	Standard
retained by		Insertion	Standard
retaining	retains	Containment	Standard
ringing	rings	Containment	Standard
round		Containment	Standard
rounded by		Insertion	Standard
rounding	rounds	Containment	Standard
sandwiched by		Insertion	Standard
sandwiches		Containment	Standard
screened by		Insertion	Standard
screening	screens	Containment	Standard
sealed by		Insertion	Advanced
sealing	seals	Containment	Advanced
secured by		Insertion	Standard
securing	secures	Containment	Standard
seized by		Insertion	Standard
seizing	seizes	Containment	Standard
set about		Containment	Standard
set in		Insertion	Standard
shared by		Containment	Advanced
sharing	shares	Insertion	Advanced
sheltered by		Insertion	Standard
sheltering	shelters	Containment	Standard
shrouded by		Insertion	Standard
shrouding	shrouds	Containment	Standard
skirted by		Insertion	Standard
skirting	skirts	Containment	Standard
slipped into		Insertion	Standard
smothered by		Insertion	Standard
smothering	smothers	Containment	Standard
smuggled by		Insertion	Advanced
smuggling	smuggles	Containment	Advanced
snared by		Insertion	Standard
snaring	snares	Containment	Standard
snuggling	snuggles	Containment	Standard
splitting	splits	Insertion	Standard
spread by		Containment	Advanced
spreading	spreads	Insertion	Advanced
squashed by		Insertion	Standard
squashing	squashes	Containment	Standard
squeezed by		Insertion	Standard
squeezing	squeezes	Containment	Standard
stalled by		Insertion	Advanced
stalling	stalls	Containment	Advanced
sticking	sticks	Insertion	Advanced
stifled by		Insertion	Standard
stifling	stifles	Containment	Standard
stopped by		Containment	Advanced
stopping	stops	Insertion	Advanced
stowed in		Insertion	Standard
stowing	stows	Containment	Standard
straining	strains	Containment	Advanced
stuck with		Containment	Advanced
stuffed with		Containment	Standard
stuffing	stuffs	Insertion	Standard
sucked by		Insertion	Advanced
sucking	sucks	Containment	Advanced
suppressed by		Insertion	Standard
suppressing	suppresses	Containment	Standard
surrounded by		Insertion	Standard
surrounding	surrounds	Containment	Standard
swallowed by		Insertion	Standard
swallowing	swallows	Containment	Standard
tackled by		Insertion	Standard
tackling	tackles	Containment	Standard
taken by		Insertion	Standard
taking	takes	Containment	Standard
taking in	takes in	Containment	Standard
tapped by		Containment	Advanced
tapping	taps	Insertion	Advanced
throttled by		Insertion	Standard
throttling	throttles	Containment	Standard
thrown in	thrown into	Insertion	Standard
transfixed by		Containment	Standard
transfixing	transfixes	Insertion	Standard
